gemeentecode,gemeentenaam,inwoners,pct_65plus,pct_65_80,pct_80plus,n_65plus,n_65plus_met_valrisico,n_65plus_at_risk_met_visusproblematiek,n_vallen_65plus,potentieel_vallen_door_visusproblematiek_65plus,sterfgevallen_door_visusproblematiek_65plus,kosten_ernstige_vallen_65plus,kosten_ernstige_vallen_visusproblematiek_65plus,n_65_80,n_65_80_met_valrisico,n_65_80_at_risk_met_visusproblematiek,n_vallen_65_80,potentieel_vallen_door_visusproblematiek_65_80,sterfgevallen_door_visusproblematiek_65_80,kosten_ernstige_vallen_65_80,kosten_ernstige_vallen_visusproblematiek_65_80,n_80plus,n_80plus_met_valrisico,n_80plus_at_risk_met_visusproblematiek,n_vallen_80plus,potentieel_vallen_door_visusproblematiek_80plus,sterfgevallen_door_visusproblematiek_80plus,kosten_ernstige_vallen_80plus,kosten_ernstige_vallen_visusproblematiek_80plus
339,Renswoude,5885,0.16899999999999998,0.135,0.035,995,328,66,238,62,0,257859,13539,794,262,52,187,48,0,205972,10482,206,68,14,50,13,0,53458,2839
340,Rhenen,20476,0.22899999999999998,0.168,0.061,4689,1547,309,1112,288,1,1216181,62892,3440,1135,227,817,212,1,892285,46296,1249,412,82,295,76,0,323896,16597
342,Soest,47920,0.23800000000000002,0.17300000000000001,0.065,11405,3764,753,2711,703,3,2959085,153518,8290,2736,547,1969,510,2,2150918,111372,3115,1028,206,742,192,1,808167,41928
344,Utrecht,378118,0.11,0.084,0.026000000000000002,41593,13726,2745,9882,2562,11,10790755,559480,31762,10481,2096,7546,1956,9,8239684,427144,9831,3244,649,2336,606,3,2550285,132336
345,Veenendaal,70724,0.192,0.146,0.045,13579,4481,896,3226,836,4,3522758,182563,10326,3408,682,2455,636,3,2679214,138887,3183,1050,210,756,196,1,825462,42802
351,Woudenberg,15033,0.192,0.13699999999999998,0.055,2886,952,190,684,177,1,748419,38653,2060,680,136,490,127,1,534585,27734,827,273,55,198,51,0,214620,11137
352,Wijk bij Duurstede,23736,0.244,0.19699999999999998,0.047,5792,1911,382,1375,356,2,1502341,77742,4676,1543,309,1112,288,1,1213036,62892,1116,368,74,266,69,0,289305,15068
353,IJsselstein,33212,0.204,0.154,0.05,6775,2236,447,1609,417,2,1757841,91063,5115,1688,338,1217,316,1,1327029,69007,1661,548,110,396,103,0,430813,22493
355,Zeist,66691,0.22,0.157,0.063,14672,4842,968,3485,904,4,3806560,197412,10470,3455,691,2488,645,3,2716163,140853,4202,1387,277,997,258,1,1090396,56341
356,Nieuwegein,67954,0.21600000000000003,0.171,0.045,14678,4844,969,3488,904,4,3808132,197412,11620,3835,767,2761,716,3,3014902,156357,3058,1009,202,727,188,1,793230,41055
358,Aalsmeer,33335,0.19399999999999998,0.138,0.055999999999999994,6467,2134,427,1537,398,2,1677653,86914,4600,1518,304,1094,284,1,1193382,62019,1867,616,123,443,115,1,484271,25113
361,Alkmaar,113177,0.214,0.16399999999999998,0.05,24220,7993,1599,5756,1492,7,6283732,325817,18561,6125,1225,4410,1143,5,4815196,249604,5659,1867,373,1343,348,2,1467750,75995
362,Amstelveen,95887,0.195,0.13699999999999998,0.057999999999999996,18698,6170,1234,4442,1152,5,4850573,251569,13137,4335,867,3121,809,4,3407979,176666,5561,1835,367,1321,342,2,1442593,74685
363,Amsterdam,942100,0.139,0.109,0.03,130952,43214,8643,31115,8067,36,33972876,1761641,102689,33887,6777,24397,6325,28,26640414,1381230,28263,9327,1865,6714,1741,8,7332462,380193
373,Bergen (N-H),29620,0.34600000000000003,0.24100000000000002,0.105,10249,3382,676,2434,631,3,2658774,137795,7138,2356,471,1696,440,2,1852180,96086,3110,1026,205,738,191,1,806594,41710
375,Beverwijk,43037,0.19399999999999998,0.147,0.047,8349,2755,551,1984,514,2,2165855,112245,6326,2088,418,1505,390,2,1641490,85167,2023,668,134,482,125,1,525151,27297
376,Blaricum,12947,0.24100000000000002,0.182,0.057999999999999996,3120,1030,206,742,192,1,809739,41928,2356,777,155,558,145,1,610842,31665,751,248,50,180,47,0,194966,10264
377,Bloemendaal,23616,0.27899999999999997,0.19,0.08800000000000001,6589,2174,435,1566,406,2,1709100,88661,4487,1481,296,1066,276,1,1164295,60272,2078,686,137,493,128,1,539302,27952
383,Castricum,37029,0.268,0.192,0.076,9924,3275,655,2358,611,3,2574656,133428,7110,2346,469,1688,438,2,1844318,95649,2814,929,186,670,174,1,730337,37997
384,Diemen,33327,0.161,0.12300000000000001,0.038,5366,1771,354,1274,330,1,1392279,72064,4099,1353,271,976,253,1,1063667,55249,1266,418,84,302,78,0,328613,17033
